user,min,max
200,27.236473210146787,28.156153241303844
220,28.17740019170594,29.543145345190684
240,29.013589127829913,30.65825185918322
260,29.989384386406265,32.19515870515886
280,30.869944939515165,33.426861086050536
300,31.733421187374752,34.71174050882052
320,32.55573516234138,35.91223958297476
340,33.325561812565965,37.00184355534765
360,34.07645432633627,38.05416098762873
380,34.7873872860309,39.0141281741795
400,35.43209332768508,39.881229222862814
