user,min,max
200,0.051760238336992545,0.05241518348790125
220,0.05206105694634771,0.052748833298123445
240,0.05246305427381987,0.05343090256537374
260,0.052913236959253526,0.05410993442501533
280,0.053507424803633866,0.05519268682766154
300,0.05413535395402627,0.05627641395569989
320,0.05479215561919449,0.05753890676389154
340,0.055578537660383884,0.05913047901069515
360,0.056496697635785104,0.0610254454314999
380,0.05756087363441279,0.06347355711641711
400,0.058881494340080255,0.0674111212312168


