user,util
10,0.020210544562638
20,0.043499131343769
30,0.059838298841639
40,0.078103344782204
50,0.102390820331117
60,0.120173773464054
70,0.140834534559071
80,0.159344468910421
90,0.180246737107911
100,0.193103145773268
110,0.212914682478265
120,0.235166365375204
130,0.25599897694141
140,0.285205366609029
150,0.294716707875918
160,0.315578914934565
170,0.329263479410545
180,0.353701425187082
190,0.375043882285155
200,0.399738629507034
210,0.41995290047163
220,0.43094925777021
230,0.462382373205126
240,0.470725138815386
250,0.498850375555088
260,0.506534391511104
270,0.530850566260193
280,0.556272661278562
290,0.563933383626173
300,0.602926563515427
310,0.608288877658478
320,0.620666108870771
330,0.645511500416523
340,0.669165205137092
350,0.666826225111873
360,0.700455393364806
370,0.735730626869684
380,0.732121714065076
390,0.770721422659101
400,0.765422274582534
410,0.791299374626204
420,0.823570898760611
430,0.827451777042722
440,0.852700587544208
450,0.870245245183662
460,0.885616621658067
470,0.894596795731326
480,0.926599364298555
490,0.928071648670926
500,0.935337291479148
510,0.948010017111036
520,0.93868618291707
530,0.955055659711389
540,0.950262183284888
550,0.953235539550471
560,0.941830188687389
570,0.972926619560142
580,0.977483378605998
590,0.934135037258335
600,0.961590213097352
610,0.967361293348544
620,0.953993445776162
630,0.97096999907289
640,0.977501771089589
650,0.977103385195657
660,0.97134454169777
670,0.974238625058681
680,0.959836140943456
690,0.962178701765956
