user,response
10,0.048300997169058
20,0.052375862426666
30,0.049834891757559
40,0.050161772502248
50,0.051364628848624
60,0.050012780093321
70,0.050469650498267
80,0.050404286240036
90,0.050231510737808
100,0.049599401865611
110,0.049691565388728
120,0.049721174765553
130,0.050739459642761
140,0.051565251049678
150,0.050210030401526
160,0.050570075000604
170,0.051326750657765
180,0.051254126805418
190,0.051921240665545
200,0.052545248655165
210,0.052372758547787
220,0.052264757055699
230,0.054247671295807
240,0.053203360815662
250,0.055328539146896
260,0.055463072017703
270,0.056683924380483
280,0.057571495840243
290,0.059845121437722
300,0.060321799119876
310,0.061629051379878
320,0.062991803147933
330,0.064378174687588
340,0.066496585912511
350,0.068824933331641
360,0.073423184521332
370,0.076980613362763
380,0.078357530949135
390,0.088416729773291
400,0.088412220929141
410,0.092445085453724
420,0.108512574787073
430,0.11584754260852
440,0.121595598272387
450,0.14799911231192
460,0.162665999140164
470,0.180145565140829
480,0.23388989100723
490,0.332143524515106
500,0.354354538539882
510,0.486413942438546
520,0.526438645940243
530,0.719525490139535
540,0.838294174407113
550,1.32934286737472
560,1.43901864192028
570,7.94740307360583
580,9.62457738788932
590,10.6302775129155
600,11.0663187916974
610,11.2234188826648
620,11.214971980301
630,11.8202588317107
640,11.5831523809321
650,11.6882322744806
660,11.7259393549447
670,11.9230168073131
680,11.9566957580452
690,12.0795146654923
